species	taxon_id	corresponding_file
Leuconostoc pseudomesenteroides	33968	Leu_pseudomesenteroides_PS12_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_DSM_26046_S
Fructilactobacillus fructivorans	1614	F_fructivorans_187_S
Lactococcus lactis	1358	Lco_lactis_MGYG-HGUT-00226_S
Lactococcus cremoris	1359	Lco_cremoris_L23_S
Bifidobacterium breve	1685	B_breve_139W423_C
Streptococcus salivarius	1304	Lb_salivarius_ATCC_11741_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_777_S
Lentilactobacillus buchneri	1581	Lb_buchneri_CIRM-BIA_2084_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_961_C
Bifidobacterium longum	216816	B_longum_LH_666_S
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_77_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_910_S
Brevibacillus brevis	1393	Lb_brevis_CIRM-BIA_2230_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_SL001_C
Bifidobacterium longum	216816	B_longum_BSM11-5_S
Lactobacillus johnsonii	33959	Lb_johnsonii_NCK2677_C
Lactobacillus helveticus	1587	Lb_helveticus_CIRM-BIA_108_S
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC20_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_5-1_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU60212_S
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_EIP13I_S
Lactobacillus crispatus	47770	Lb_crispatus_C037_S
Lactobacillus pentosus	1589	Lb_pentosus_IG4_S
Lentilactobacillus buchneri	1581	Lb_buchneri_LA1167_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_CIRM-BIA_1701_S
Lactobacillus fermentum	1613	Lb_fermentum_NB-22_S
Lentilactobacillus buchneri	1581	Lb_buchneri_LA1184_S
Bifidobacterium breve	1685	B_breve_322-1_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_CIRM-BIA_865_S
Bifidobacterium longum	216816	B_longum_LC67_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_SRCM103453_C
Lactobacillus helveticus	1587	Lb_helveticus_CIRM-BIA_2187_S
Latilactobacillus sakei	1599	Lb_sakei_WiKim0072_C
Lactobacillus johnsonii	33959	Lb_johnsonii_117c_S
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC6_S
Limosilactobacillus reuteri	1598	Lb_reuteri_TD1_C
Lactobacillus crispatus	47770	Lb_crispatus_RL02_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30044_S
Weissella paramesenteroides	1249	W_paramesenteroides_1396_S
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_442_S
Lactobacillus acidophilus	1579	Lb_acidophilus_NCFM_C
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30094_S
Lacticaseibacillus paracasei	1597	Lb_paracasei_IBB3423_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM_19164_S
Weissella confusa	1583	W_confusa_1432_S
Bifidobacterium breve	1685	B_breve_UMB0089_S
Lactiplantibacillus paraplantarum	60520	Lb_paraplantarum_CIRM-BIA_1870_S
Bifidobacterium breve	1685	B_breve_12L_C
Bifidobacterium longum	216816	B_longum_W35-1_S
Streptococcus thermophilus	1308	St_thermophilus_CS18_C
Limosilactobacillus reuteri	1598	Lb_reuteri_CIRM-BIA_1534_S
Brevibacillus brevis	1393	Lb_brevis_CIRM-BIA_2226_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_LMGCF07_S
Lactobacillus gasseri	1596	Lb_gasseri_MV-22_S
Weissella cibaria	137591	W_cibaria_1522_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU50022_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_1524_S
Brevibacillus brevis	1393	Lb_brevis_BDGP6_C
Bifidobacterium longum	216816	B_longum_TF07-34_S
Schleiferilactobacillus harbinensis	304207	Lb_harbinensis_1011_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-lactis_CIRM-BIA_1375_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_DSM_20072_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_KFRI-MG_C
Lactococcus lactis	1358	Lco_lactis_IPLA517_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA514_S
Pediococcus acidilactici	1254	Pe_acidilactici_1001287B_170213_G1_S
Latilactobacillus sakei	1599	Lb_sakei_ZFM229_C
